ID, Name, Description, Mean, SD, By Row Mean, By Row SD, First Row Mean, First Row SD, Code
2ec7b3d3-2165-4079-a840-a3dbeb60427c, _104_orm_1m, [mariadb. 10],60482,4228, , ,,,[object Object]
cfc6042b-82c8-415f-9b1f-cc645cfb5467, _104_orm_1m, [mssql. 10],15075,807, , ,,,[object Object]
1eb7923b-acd0-41ce-9a0c-3b16e02776fc, _104_orm_1m, [mysql. 10],22888,1022, , ,,,[object Object]
13e95a49-3890-45fd-afe4-c4eac2a5a540, _104_orm_1m, [oracle. 10],23653,3256, , ,,,[object Object]
04fb85a0-0f5e-4362-9692-20ecd013ddae, _104_orm_1m, [postgres. 10],10189,374, , ,,,[object Object]
59addc41-d459-4b7e-bbb8-2d15631df81d, _104_orm_100k, [mariadb. 10],1016,37, , ,,,[object Object]
30fdd014-7573-46c0-a3ca-7a46b03bb9a1, _104_orm_100k, [mssql. 10],1305,63, , ,,,[object Object]
ad755ddb-ba46-4617-a439-98587347091a, _104_orm_100k, [mysql. 10],950,26, , ,,,[object Object]
66cea60f-5c30-4736-b469-b37dc345ffac, _104_orm_100k, [oracle. 10],1290,27, , ,,,[object Object]
415d7486-3df0-4e05-a5cf-41fb7ad67d9d, _104_orm_100k, [postgres. 10],920,62, , ,,,[object Object]
0d74c461-d1f1-47a4-aa66-ba6cd7a2e7cf, _104_raw_1m, [mariadb. 10],29579,1574,59,11,4,1,"SELECT `Department`.`id`, `Department`.`name`, `Department`.`zohoId`, `Department`.`parentId`, `Department`.`createdAt`, `Department`.`updatedAt`, `Department`.`deletedAt`, `subDepartments`.`id` AS `subDepartments.id`, `subDepartments`.`name` AS `subDepartments.name`, `subDepartments`.`zohoId` AS `subDepartments.zohoId`, `subDepartments`.`parentId` AS `subDepartments.parentId`, `subDepartments`.`createdAt` AS `subDepartments.createdAt`, `subDepartments`.`updatedAt` AS `subDepartments.updatedAt`, `subDepartments`.`deletedAt` AS `subDepartments.deletedAt` FROM `Department` AS `Department` INNER JOIN `Department` AS `subDepartments` ON `Department`.`id` = `subDepartments`.`parentId`"
d72ccc90-4379-42f4-af4b-f3b473350540, _104_raw_1m, [mssql. 10],5633,234,11,8,87,24,"SELECT [Department].[id], [Department].[name], [Department].[zohoId], [Department].[parentId], [Department].[createdAt], [Department].[updatedAt], [Department].[deletedAt], [subDepartments].[id] AS [subDepartments.id], [subDepartments].[name] AS [subDepartments.name], [subDepartments].[zohoId] AS [subDepartments.zohoId], [subDepartments].[parentId] AS [subDepartments.parentId], [subDepartments].[createdAt] AS [subDepartments.createdAt], [subDepartments].[updatedAt] AS [subDepartments.updatedAt], [subDepartments].[deletedAt] AS [subDepartments.deletedAt] FROM [Department] AS [Department] INNER JOIN [Department] AS [subDepartments] ON [Department].[id] = [subDepartments].[parentId]"
5f6f0ceb-87a4-41f4-9ebb-4ca74677acc0, _104_raw_1m, [mysql. 10],16491,623,33,6,2,1,"SELECT `Department`.`id`, `Department`.`name`, `Department`.`zohoId`, `Department`.`parentId`, `Department`.`createdAt`, `Department`.`updatedAt`, `Department`.`deletedAt`, `subDepartments`.`id` AS `subDepartments.id`, `subDepartments`.`name` AS `subDepartments.name`, `subDepartments`.`zohoId` AS `subDepartments.zohoId`, `subDepartments`.`parentId` AS `subDepartments.parentId`, `subDepartments`.`createdAt` AS `subDepartments.createdAt`, `subDepartments`.`updatedAt` AS `subDepartments.updatedAt`, `subDepartments`.`deletedAt` AS `subDepartments.deletedAt` FROM `Department` AS `Department` INNER JOIN `Department` AS `subDepartments` ON `Department`.`id` = `subDepartments`.`parentId`"
3d1e0767-4ed1-44b6-ad73-54da0d4d6bfd, _104_raw_1m, [oracle. 10],15563,8253,20,13,5576,8416,"SELECT ""Department"".""id"", ""Department"".""name"", ""Department"".""zohoId"", ""Department"".""parentId"", ""Department"".""createdAt"", ""Department"".""updatedAt"", ""Department"".""deletedAt"", ""subDepartments"".""id"" AS ""subDepartments.id"", ""subDepartments"".""name"" AS ""subDepartments.name"", ""subDepartments"".""zohoId"" AS ""subDepartments.zohoId"", ""subDepartments"".""parentId"" AS ""subDepartments.parentId"", ""subDepartments"".""createdAt"" AS ""subDepartments.createdAt"", ""subDepartments"".""updatedAt"" AS ""subDepartments.updatedAt"", ""subDepartments"".""deletedAt"" AS ""subDepartments.deletedAt"" FROM ""Department""  ""Department"" INNER JOIN ""Department""  ""subDepartments"" ON ""Department"".""id"" = ""subDepartments"".""parentId"""
a122a2e7-c27e-4d68-a5c3-d44334b4ef60, _104_raw_1m, [postgres. 10],3991,119,5,3,1240,71,"SELECT ""Department"".""id"",     ""Department"".""name"",     ""Department"".""zohoId"",     ""Department"".""parentId"",     ""Department"".""createdAt"",     ""Department"".""updatedAt"",     ""Department"".""deletedAt"",     ""subDepartments"".""id""        AS ""subDepartments.id"",     ""subDepartments"".""name""      AS ""subDepartments.name"",     ""subDepartments"".""zohoId""    AS ""subDepartments.zohoId"",     ""subDepartments"".""parentId""  AS ""subDepartments.parentId"",     ""subDepartments"".""createdAt"" AS ""subDepartments.createdAt"",     ""subDepartments"".""updatedAt"" AS ""subDepartments.updatedAt"",     ""subDepartments"".""deletedAt"" AS ""subDepartments.deletedAt"" FROM ""Department"" AS ""Department""       INNER JOIN ""Department"" AS ""subDepartments""                   ON ""Department"".""id"" = ""subDepartments"".""parentId"""
716e84de-4a87-477a-aa30-7c4cbf8f6287, _104_raw_100k, [mariadb. 10],211,10,4,1,2,1,"SELECT `Department`.`id`, `Department`.`name`, `Department`.`zohoId`, `Department`.`parentId`, `Department`.`createdAt`, `Department`.`updatedAt`, `Department`.`deletedAt`, `subDepartments`.`id` AS `subDepartments.id`, `subDepartments`.`name` AS `subDepartments.name`, `subDepartments`.`zohoId` AS `subDepartments.zohoId`, `subDepartments`.`parentId` AS `subDepartments.parentId`, `subDepartments`.`createdAt` AS `subDepartments.createdAt`, `subDepartments`.`updatedAt` AS `subDepartments.updatedAt`, `subDepartments`.`deletedAt` AS `subDepartments.deletedAt` FROM `Department` AS `Department` INNER JOIN `Department` AS `subDepartments` ON `Department`.`id` = `subDepartments`.`parentId`"
