ID, Name, Description, Mean, SD, By Row Mean, By Row SD, First Row Mean, First Row SD, Code
eb47488f-4d49-46d7-adba-9f503ad21182, _102_raw_100k, [postgres. 10], 567, 15, 3, 1, 316, 13, "SELECT ""id"", ""name"", ""zohoId"", ""parentId"", ""createdAt"", ""updatedAt"", ""deletedAt"" FROM ""Department"" AS ""Department"" ORDER BY ""Department"".""name"" ASC"
94f1e8d8-435a-4eb4-8b19-3950ebe763f8, _102_raw_100k, [mssql. 10], 550, 31, 5, 2, 20, 1, "SELECT [id], [name], [zohoId], [parentId], [createdAt], [updatedAt], [deletedAt] FROM [Department] AS [Department] ORDER BY [Department].[name] ASC"
ac264d02-e7a2-4c41-bc00-c7b2e13a3fa9, _102_raw_100k, [mysql. 10], 277, 11, 2, 1, 82, 1, "SELECT `id`, `name`, `zohoId`, `parentId`, `createdAt`, `updatedAt`, `deletedAt` FROM `Department` AS `Department` ORDER BY `Department`.`name` ASC"
893a97a0-a00b-47b4-9689-22b6b15c659f, _102_raw_100k, [oracle. 10], 697, 30, 6, 2, 49, 5, "SELECT ""id"", ""name"", ""zohoId"", ""parentId"", ""createdAt"", ""updatedAt"", ""deletedAt"" FROM ""Department""  ""Department"" ORDER BY ""Department"".""name"" ASC"
616eed3a-b21c-47f7-ba6e-9f1f73d39eef, _102_raw_100k, [mariadb. 10], 348, 2, 2, 1, 148, 1, "SELECT `id`, `name`, `zohoId`, `parentId`, `createdAt`, `updatedAt`, `deletedAt` FROM `Department` AS `Department` ORDER BY `Department`.`name` ASC"
a9ddb634-5f80-4906-8b92-f472c0757a6e, _102_raw_1m, [postgres. 10], 6190, 147, 3, 3, 3570, 79, "SELECT ""id"", ""name"", ""zohoId"", ""parentId"", ""createdAt"", ""updatedAt"", ""deletedAt"" FROM ""Department"" AS ""Department"" ORDER BY ""Department"".""name"" ASC"
5fc698dc-d3dd-4129-ae3e-36f676da0112, _102_raw_1m, [mssql. 10], 5688, 236, 6, 7, 156, 13, "SELECT [id], [name], [zohoId], [parentId], [createdAt], [updatedAt], [deletedAt] FROM [Department] AS [Department] ORDER BY [Department].[name] ASC"
4665915b-688a-4681-8b48-eae9088e4bbb, _102_raw_1m, [mysql. 10], 4069, 126, 2, 2, 1908, 131, "SELECT `id`, `name`, `zohoId`, `parentId`, `createdAt`, `updatedAt`, `deletedAt` FROM `Department` AS `Department` ORDER BY `Department`.`name` ASC"
3fb4db4c-b61d-402d-a548-335e1aeb371c, _102_raw_1m, [oracle. 10], 29825, 1398, 26, 25, 3834, 2189, "SELECT ""id"", ""name"", ""zohoId"", ""parentId"", ""createdAt"", ""updatedAt"", ""deletedAt"" FROM ""Department""  ""Department"" ORDER BY ""Department"".""name"" ASC"
28ff4b0c-bbd2-4edb-bfc6-ea2019f2f795, _102_raw_1m, [mariadb. 10], 82629, 13926, 80, 17, 2973, 257, "SELECT `id`, `name`, `zohoId`, `parentId`, `createdAt`, `updatedAt`, `deletedAt` FROM `Department` AS `Department` ORDER BY `Department`.`name` ASC"
926d6667-359d-4dff-9165-78a6922e7f0e, _102_orm_100k, [postgres. 10], 815, 27, , , NaN, NaN, "[object Object]"
9c4682f7-37b4-4d6f-8139-3e90663a8704, _102_orm_100k, [mssql. 10], 1029, 45, , , NaN, NaN, "[object Object]"
a92122ef-9d18-4057-8612-b009c43be7b3, _102_orm_100k, [mysql. 10], 722, 34, , , NaN, NaN, "[object Object]"
9c052d76-5f5e-41a9-b2a3-c2aebc42e8dc, _102_orm_100k, [oracle. 10], 1377, 31, , , NaN, NaN, "[object Object]"
efc523f9-354f-4f90-bea1-754e193f421b, _102_orm_100k, [mariadb. 10], 1010, 9, , , NaN, NaN, "[object Object]"
7e8e240e-4923-468c-8e06-20fa981d3138, _102_orm_1m, [postgres. 10], 8006, 118, , , NaN, NaN, "[object Object]"
2c1c62ad-ccc9-46db-a4cd-7915853a7d5e, _102_orm_1m, [mssql. 10], 12759, 1204, , , NaN, NaN, "[object Object]"
dec65fa4-d870-4002-80f6-954208d41ce6, _102_orm_1m, [mysql. 10], 8126, 218, , , NaN, NaN, "[object Object]"
35f125bc-73c9-4d48-8d20-829c0c9c8378, _102_orm_1m, [oracle. 10], 39991, 820, , , NaN, NaN, "[object Object]"
91e0f4a2-b1fd-42bf-ac54-8d73a7a6577b, _102_orm_1m, [mariadb. 10], 94307, 4711, , , NaN, NaN, "[object Object]"
